multi + ce disorbert,25,loss of pleasure,0.02892,0.20907,0.372,0.725,0.595,0.15175,0.03558,0.29196,0.74472,0.7398,0.62772,0.69213
multi + ce disorbert,25,tiredness or fatigue,0.01561,0.10373,0.22902,0.525,0.4275,0.1455,0.02376,0.19344,0.65837,0.52433,0.449,0.57776
ance + ce disorbert,25,concentration difficulty,0.04972,0.33428,0.4557,0.775,0.5925,0.11425,0.05496,0.42021,0.81028,0.77689,0.63455,0.74532
ance + ce disorbert,25,guilty feelings,0.03098,0.23787,0.39941,0.725,0.55,0.12,0.05077,0.38524,0.84061,0.5941,0.55101,0.72712
ance + ce disorbert,25,pessimism,0.01782,0.11594,0.26084,0.675,0.52,0.18425,0.02077,0.16,0.56692,0.67566,0.55164,0.54196
ance + ce disorbert,25,sadness,0.01927,0.15189,0.36582,0.75,0.6525,0.22075,0.0236,0.20534,0.69475,0.74343,0.6728,0.66479
ance + ce disorbert,25,suicidal thoughts or wishes,0.02398,0.19971,0.54127,0.925,0.815,0.277,0.02652,0.23369,0.79427,0.89192,0.82425,0.77802
ance + ce disorbert,25,changes in appetite,0.01936,0.13347,0.30478,0.64286,0.51286,0.164,0.02871,0.22909,0.73255,0.60593,0.52655,0.6521
ance + ce disorbert,25,loss of interest,0.00595,0.06284,0.1331,0.2,0.2725,0.09375,0.01193,0.16255,0.55911,0.2307,0.27924,0.45073
ance + ce disorbert,25,indecisiveness,0.00809,0.07331,0.12052,0.25,0.26,0.07125,0.01778,0.18489,0.50643,0.25304,0.27719,0.41754
ance + ce disorbert,25,loss of energy,0.02041,0.22018,0.37904,0.7,0.62,0.14525,0.03434,0.3043,0.7129,0.56429,0.62062,0.66128
ance + ce disorbert,25,self-criticalness,0.0137,0.08469,0.17254,0.425,0.315,0.10975,0.02443,0.18103,0.63075,0.37272,0.33107,0.51676
ance + ce disorbert,25,agitation,0.01104,0.06354,0.10313,0.325,0.2475,0.069,0.0211,0.16093,0.44874,0.28471,0.26354,0.3772
ance + ce disorbert,25,past failure,0.01572,0.1179,0.24722,0.625,0.55,0.16925,0.02083,0.18333,0.56417,0.60407,0.56139,0.53834
ance + ce disorbert,25,crying,0.03125,0.26608,0.70445,1.0,0.8925,0.2895,0.03125,0.27891,0.90469,1.0,0.91307,0.88741
ance + ce disorbert,25,changes in sleeping pattern,0.02216,0.16129,0.51197,0.87143,0.69857,0.30357,0.0249,0.19959,0.86735,0.84774,0.72641,0.81156
ance + ce disorbert,25,self-dislike,0.01632,0.12259,0.25451,0.625,0.525,0.16775,0.02171,0.18236,0.58283,0.60609,0.53651,0.54518
ance + ce disorbert,25,loss of interest in sex,0.04138,0.19067,0.37042,0.75,0.49,0.135,0.04753,0.31055,0.85572,0.77222,0.53311,0.7474
ance + ce disorbert,25,irritability,0.03468,0.22904,0.37516,0.75,0.51,0.12275,0.04845,0.32953,0.79318,0.6953,0.5517,0.71
ance + ce disorbert,25,punishment feelings,0.014,0.13017,0.1619,0.225,0.19,0.03675,0.045,0.38,0.735,0.1958,0.33975,0.50481
ance + ce disorbert,25,worthlessness,0.03326,0.28054,0.41022,0.65,0.53,0.117,0.04514,0.36806,0.8125,0.63252,0.56675,0.7203
ance + ce disorbert,25,loss of pleasure,0.03891,0.23197,0.38892,0.85,0.6175,0.14625,0.04171,0.30303,0.71774,0.85941,0.662,0.68868
ance + ce disorbert,25,tiredness or fatigue,0.01097,0.10661,0.26414,0.525,0.465,0.16075,0.02376,0.21041,0.72738,0.413,0.45385,0.61961
deepct + ce disorbert,25,concentration difficulty,0.00896,0.05287,0.10465,0.275,0.2,0.051,0.0195,0.14184,0.3617,0.25437,0.21561,0.32304
deepct + ce disorbert,25,guilty feelings,0.00308,0.04008,0.13704,0.175,0.2075,0.081,0.01226,0.14562,0.56757,0.13844,0.19471,0.43475
deepct + ce disorbert,25,pessimism,0.00111,0.01933,0.05537,0.175,0.2225,0.079,0.00538,0.06846,0.24308,0.1306,0.21115,0.22613
deepct + ce disorbert,25,sadness,0.00447,0.03988,0.09206,0.375,0.3425,0.10475,0.01181,0.10781,0.32972,0.2906,0.33058,0.31388
deepct + ce disorbert,25,suicidal thoughts or wishes,0.00817,0.05369,0.18382,0.475,0.405,0.14825,0.01362,0.11612,0.4251,0.44907,0.41179,0.424
deepct + ce disorbert,25,changes in appetite,0.00158,0.0199,0.05866,0.15714,0.16143,0.07143,0.00702,0.07211,0.31908,0.12369,0.16869,0.27526
deepct + ce disorbert,25,loss of interest,0.00038,0.01004,0.02532,0.05,0.1025,0.0405,0.00299,0.06115,0.24153,0.0349,0.09569,0.18568
deepct + ce disorbert,25,indecisiveness,0.00106,0.01347,0.06127,0.075,0.1225,0.063,0.00534,0.08708,0.44768,0.05762,0.11672,0.32617
deepct + ce disorbert,25,loss of energy,0.00552,0.07431,0.20763,0.325,0.3625,0.12425,0.01596,0.17788,0.60994,0.25752,0.35297,0.52335
deepct + ce disorbert,25,self-criticalness,0.00497,0.03293,0.06832,0.225,0.19,0.05625,0.01293,0.1092,0.32328,0.17829,0.18794,0.27613
deepct + ce disorbert,25,agitation,0.00127,0.00734,0.01907,0.075,0.09,0.03275,0.00487,0.05852,0.21297,0.05521,0.08367,0.16389
deepct + ce disorbert,25,past failure,0.00759,0.03153,0.05827,0.3,0.1875,0.07,0.01,0.0625,0.23333,0.29416,0.21264,0.2273
deepct + ce disorbert,25,crying,0.00254,0.03642,0.1749,0.175,0.35,0.19025,0.00547,0.10938,0.59453,0.16817,0.31162,0.49937
deepct + ce disorbert,25,changes in sleeping pattern,0.00237,0.0224,0.06612,0.18571,0.23286,0.10143,0.00531,0.06653,0.2898,0.16504,0.22576,0.26343
deepct + ce disorbert,25,self-dislike,0.00527,0.03926,0.09271,0.275,0.295,0.1015,0.00956,0.10249,0.35265,0.29806,0.30535,0.32825
deepct + ce disorbert,25,loss of interest in sex,0.00449,0.01455,0.08024,0.175,0.1325,0.0825,0.01108,0.08394,0.5231,0.1657,0.13261,0.38472
deepct + ce disorbert,25,irritability,0.0,0.01801,0.04162,0.0,0.145,0.05575,0.0,0.09371,0.36027,0.0,0.13721,0.26734
deepct + ce disorbert,25,punishment feelings,0.00497,0.09835,0.1388,0.125,0.1825,0.03825,0.025,0.365,0.765,0.09958,0.3013,0.49214
deepct + ce disorbert,25,worthlessness,0.00404,0.07334,0.11014,0.225,0.27,0.04825,0.01562,0.1875,0.33507,0.1579,0.25642,0.2988
deepct + ce disorbert,25,loss of pleasure,0.00598,0.07014,0.14508,0.375,0.315,0.09525,0.01841,0.15458,0.4674,0.28523,0.32546,0.41879
deepct + ce disorbert,25,tiredness or fatigue,0.0,0.00292,0.01855,0.0,0.0825,0.048,0.0,0.03733,0.21719,0.0,0.07033,0.1686
deepct + ce disorbert,25,concentration difficulty,0.00896,0.05287,0.10465,0.275,0.2,0.051,0.0195,0.14184,0.3617,0.25437,0.21561,0.32304
deepct + ce disorbert,25,guilty feelings,0.00308,0.04008,0.13704,0.175,0.2075,0.081,0.01226,0.14562,0.56757,0.13844,0.19471,0.43475
deepct + ce disorbert,25,pessimism,0.00111,0.01933,0.05537,0.175,0.2225,0.079,0.00538,0.06846,0.24308,0.1306,0.21115,0.22613
deepct + ce disorbert,25,sadness,0.00447,0.03988,0.09206,0.375,0.3425,0.10475,0.01181,0.10781,0.32972,0.2906,0.33058,0.31388
deepct + ce disorbert,25,suicidal thoughts or wishes,0.00817,0.05369,0.18382,0.475,0.405,0.14825,0.01362,0.11612,0.4251,0.44907,0.41179,0.424
deepct + ce disorbert,25,changes in appetite,0.00158,0.0199,0.05866,0.15714,0.16143,0.07143,0.00702,0.07211,0.31908,0.12369,0.16869,0.27526
deepct + ce disorbert,25,loss of interest,0.00038,0.01004,0.02532,0.05,0.1025,0.0405,0.00299,0.06115,0.24153,0.0349,0.09569,0.18568
deepct + ce disorbert,25,indecisiveness,0.00106,0.01347,0.06127,0.075,0.1225,0.063,0.00534,0.08708,0.44768,0.05762,0.11672,0.32617
deepct + ce disorbert,25,loss of energy,0.00552,0.07431,0.20763,0.325,0.3625,0.12425,0.01596,0.17788,0.60994,0.25752,0.35297,0.52335
deepct + ce disorbert,25,self-criticalness,0.00497,0.03293,0.06832,0.225,0.19,0.05625,0.01293,0.1092,0.32328,0.17829,0.18794,0.27613
deepct + ce disorbert,25,agitation,0.00127,0.00734,0.01907,0.075,0.09,0.03275,0.00487,0.05852,0.21297,0.05521,0.08367,0.16389
deepct + ce disorbert,25,past failure,0.00759,0.03153,0.05827,0.3,0.1875,0.07,0.01,0.0625,0.23333,0.29416,0.21264,0.2273
deepct + ce disorbert,25,crying,0.00254,0.03642,0.1749,0.175,0.35,0.19025,0.00547,0.10938,0.59453,0.16817,0.31162,0.49937
deepct + ce disorbert,25,changes in sleeping pattern,0.00237,0.0224,0.06612,0.18571,0.23286,0.10143,0.00531,0.06653,0.2898,0.16504,0.22576,0.26343
deepct + ce disorbert,25,self-dislike,0.00527,0.03926,0.09271,0.275,0.295,0.1015,0.00956,0.10249,0.35265,0.29806,0.30535,0.32825
deepct + ce disorbert,25,loss of interest in sex,0.00449,0.01455,0.08024,0.175,0.1325,0.0825,0.01108,0.08394,0.5231,0.1657,0.13261,0.38472
deepct + ce disorbert,25,irritability,0.0,0.01801,0.04162,0.0,0.145,0.05575,0.0,0.09371,0.36027,0.0,0.13721,0.26734
deepct + ce disorbert,25,punishment feelings,0.00497,0.09835,0.1388,0.125,0.1825,0.03825,0.025,0.365,0.765,0.09958,0.3013,0.49214
deepct + ce disorbert,25,worthlessness,0.00186,0.0784,0.10698,0.15,0.28,0.0465,0.01042,0.19444,0.32292,0.09886,0.26155,0.28939
deepct + ce disorbert,25,loss of pleasure,0.00384,0.05917,0.12427,0.25,0.325,0.08375,0.01228,0.1595,0.41099,0.20641,0.31521,0.37401
deepct + ce disorbert,25,tiredness or fatigue,0.0,0.00404,0.01391,0.0,0.0975,0.034,0.0,0.04412,0.15385,0.0,0.08383,0.12866
ce roberta simcse sup,25,concentration difficulty,0.04807,0.33111,0.51551,0.8,0.63,0.12525,0.05674,0.44681,0.8883,0.77566,0.65696,0.80817
ce roberta simcse sup,25,guilty feelings,0.04152,0.19243,0.37906,0.7,0.4775,0.12725,0.04904,0.33452,0.89146,0.73838,0.51449,0.76497
ce roberta simcse sup,25,pessimism,0.01626,0.11517,0.2593,0.675,0.555,0.18975,0.02077,0.17077,0.58385,0.68935,0.5797,0.55901
ce roberta simcse sup,25,sadness,0.01711,0.09811,0.24005,0.675,0.5,0.1885,0.02124,0.15735,0.59328,0.70684,0.54006,0.56141
ce roberta simcse sup,25,suicidal thoughts or wishes,0.02,0.17777,0.5907,0.85,0.765,0.313,0.02437,0.21936,0.89745,0.80155,0.76959,0.846
ce roberta simcse sup,25,changes in appetite,0.01962,0.17143,0.4558,0.57143,0.58571,0.20514,0.02553,0.26164,0.91643,0.60177,0.60081,0.80718
ce roberta simcse sup,25,loss of interest,0.01136,0.12003,0.23101,0.25,0.4125,0.11475,0.01489,0.24595,0.68411,0.34225,0.42298,0.58273
ce roberta simcse sup,25,indecisiveness,0.01414,0.08546,0.1574,0.375,0.295,0.082,0.02662,0.20964,0.58286,0.39595,0.32251,0.49017
ce roberta simcse sup,25,loss of energy,0.03971,0.28301,0.46321,0.925,0.6825,0.161,0.04539,0.3349,0.79012,0.86244,0.71876,0.74804
ce roberta simcse sup,25,self-criticalness,0.02593,0.12106,0.2252,0.55,0.395,0.11575,0.03161,0.22701,0.66523,0.56091,0.42417,0.57495
ce roberta simcse sup,25,agitation,0.031,0.10701,0.15774,0.625,0.2975,0.083,0.04064,0.19337,0.53965,0.65749,0.35804,0.47914
ce roberta simcse sup,25,past failure,0.00436,0.09333,0.24753,0.3,0.5125,0.18525,0.01,0.17083,0.6175,0.29201,0.49059,0.55643
ce roberta simcse sup,25,crying,0.02589,0.21492,0.63647,0.925,0.8125,0.298,0.02891,0.25391,0.93125,0.87405,0.81621,0.87865
ce roberta simcse sup,25,changes in sleeping pattern,0.01121,0.11413,0.4601,0.6,0.60143,0.31186,0.01714,0.17184,0.89102,0.54751,0.6012,0.79711
